STAID,YearDamRemoved,Dam_Latitude,Dam_Longitude,Location,River_Basin,State
01021480,1999,44.966696,-67.774724,North Washington,East Machias River,ME
01021500,1999,44.966696,-67.774724,North Washington,East Machias River,ME
01033500,1999,45.306829,-69.034678,Brownville,Pleasant River,ME
01034000,1999,45.306829,-69.034678,Brownville,Pleasant River,ME
01034500,1999,45.306829,-69.034678,Brownville,Pleasant River,ME
01049000,1999,44.887590,-69.138015,Stetson,Stetson Stream,ME
01049000,2002,44.835155,-69.272030,Newport,Sebasticook River,ME
01049265,1999,44.887590,-69.138015,Stetson,Stetson Stream,ME
01049265,2002,44.835155,-69.272030,Newport,Sebasticook River,ME
01049265,2006,44.731430,-69.897963,Starks,Sandy River,ME
01049265,2008,44.538917,-69.625955,"Kennebec Watershed, Winslow",Sebasticook River,ME
01060000,2012,43.805397,-70.188079,Yarmouth,Royal River,ME
01060000,2013,43.929741,-70.191009,Pownal,Chandler Brook (Royal River trib),ME
01064000,2013,44.256604,-70.727234,Waterford,Swett Brook,ME
01064118,2013,44.256604,-70.727234,Waterford,Swett Brook,ME
01064801,2003,43.828000,-71.298600,South Tamworth,Bearcamp River,NH
01065000,2003,43.828000,-71.298600,South Tamworth,Bearcamp River,NH
01065500,2003,43.828000,-71.298600,South Tamworth,Bearcamp River,NH
01066000,2003,43.828000,-71.298600,South Tamworth,Bearcamp River,NH
01073500,2011,43.040500,-71.129700,Epping,Lamprey River,NH
01073785,2009,43.036744,-70.847753,Greenland,Winnicut River,NH
01081000,2004,43.452066,-71.468876,Belmont,Tioga River,NH
01081500,2004,43.452066,-71.468876,Belmont,Tioga River,NH
01081500,2008,43.606600,-71.742200,Bristol,Newfound River,NH
01085500,2004,43.165353,-71.842653,Henniker,Contoocook River,NH
01088000,2004,43.165353,-71.842653,Henniker,Contoocook River,NH
01092000,2004,43.165353,-71.842653,Henniker,Contoocook River,NH
01092000,2004,43.452066,-71.468876,Belmont,Tioga River,NH
01092000,2008,43.606600,-71.742200,Bristol,Newfound River,NH
01092000,2009,43.010300,-71.479144,Manchester,Black Brook,NH
01092000,2010,43.108440,-71.448827,Hooksett,Browns Brook,NH
01092000,2011,43.159496,-71.407399,Pembroke and Allenstown,Suncook River,NH
01093852,2012,42.829472,-71.767915,Wilton,Unnamed Stream  - tributary to Souhegan River,NH
01094000,2012,42.829472,-71.767915,Wilton,Unnamed Stream  - tributary to Souhegan River,NH
010965852,2012,42.901639,-71.299249,Derry,Beaver Brook,NH
01100000,2004,43.165353,-71.842653,Henniker,Contoocook River,NH
01100000,2004,43.452066,-71.468876,Belmont,Tioga River,NH
01100000,2008,42.860237,-71.493287,Merrimack,Souhegan River,NH
01100000,2008,43.606600,-71.742200,Bristol,Newfound River,NH
01100000,2009,43.010300,-71.479144,Manchester,Black Brook,NH
01100000,2010,43.108440,-71.448827,Hooksett,Browns Brook,NH
01100000,2011,43.159496,-71.407399,Pembroke and Allenstown,Suncook River,NH
01100000,2012,42.829472,-71.767915,Wilton,Unnamed Stream  - tributary to Souhegan River,NH
01100000,2012,42.905622,-71.523668,Bedford,McQuade Brook,NH
01100000,2012,42.901639,-71.299249,Derry,Beaver Brook,NH
01102000,2012,42.618249,-71.003963,Middleton,Boston Brook,MA
01105870,2011,41.992862,-70.748398,Kingston,Jones River,MA
011058756,2009,41.911316,-70.645659,Plymouth,Eel River,MA
011058756,2010,41.911236,-70.640763,Plymouth,Eel River,MA
01105876,2009,41.911316,-70.645659,Plymouth,Eel River,MA
01105876,2010,41.911236,-70.640763,Plymouth,Eel River,MA
01108410,2012,41.914767,-71.096714,Taunton,Mill River,MA
01108410,2013,41.924225,-71.106475,Taunton,Mill River,MA
01116500,1979,41.734149,-71.553871,Hope,Pawtuxet River,RI
01117500,2010,41.447294,-71.643319,Richmond and Charlestown,Pawcatuck River,RI
01118500,2010,41.447294,-71.643319,Richmond and Charlestown,Pawcatuck River,RI
01125500,2009,41.915324,-71.917151,Putnam,Little River,CT
01127000,2009,41.915324,-71.917151,Putnam,Little River,CT
01138000,2008,44.206900,-71.891900,Lisbon,Pearl Lake Brook,NH
01151500,2007,43.553462,-72.707791,Plymouth,Pinney Hollow Brook,VT
01152500,2011,43.387700,-72.351300,Claremont,Stevens Brook,NH
01154500,2007,43.553462,-72.707791,Plymouth,Pinney Hollow Brook,VT
01154500,2008,44.206900,-71.891900,Lisbon,Pearl Lake Brook,NH
01154500,2010,43.823072,-72.224275,Thetford,Zebedee Brook,VT
01154500,2011,43.387700,-72.351300,Claremont,Stevens Brook,NH
01156500,2007,43.553462,-72.707791,Plymouth,Pinney Hollow Brook,VT
01156500,2008,44.206900,-71.891900,Lisbon,Pearl Lake Brook,NH
01156500,2010,43.823072,-72.224275,Thetford,Zebedee Brook,VT
01156500,2011,43.387700,-72.351300,Claremont,Stevens Brook,NH
01160350,2010,42.871341,-72.328241,Swanzey,Asheulot River,NH
01161000,2001,42.787653,-72.470641,Hinsdale,Ashuelot River,NH
01161000,2002,42.776881,-72.383351,Winchester,Ashuelot River,NH
01161000,2010,42.871341,-72.328241,Swanzey,Asheulot River,NH
